Original: emit , predicted 1st: close|close|close
Original: parents , predicted 1st: __init__|__init__|get|get
Original: previousSiblingGenerator , predicted 1st: __init__|__init__|__getitem__|__getitem__|got_enough_data|publish
Original: __getattr__ , predicted 1st: close|close|close|close|close|close
Original: for_name_and_ids , predicted 1st: close|close|close|get|get|get|register_hook
Original: __init__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: is_empty_element , predicted 1st: close|close|close|get|get|get|register_hook
Original: _all_strings , predicted 1st: __init__|__init__|__len__|redirect
Original: get_text , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|run_migrations_online
Original: __str__ , predicted 1st: close|close|close|close|get|get|get
Original: find , predicted 1st: close|close|close|close|get|get|get
Original: find_all , predicted 1st: close|close|close
Original: recursiveChildGenerator , predicted 1st: close|close|close|get|get|get|register_hook
Original: search_tag , predicted 1st: close|close|close|get|get|get|register_hook
Original: main , predicted 1st: clear|replace|get
Original: set_cert , predicted 1st: reset|__init__|__init__|__getitem__|__getitem__|publish
Original: __init__ , predicted 1st: __init__|__init__|build|__init__|__getitem__|run_migrations_online
Original: is_same_host , predicted 1st: __init__|getall|build|__init__|build
Original: _basic_auth_str , predicted 1st: __init__|__init__|__init__|decode|__getitem__|__getitem__
Original: __init__ , predicted 1st: __init__|__init__|__init__|__init__|__getitem__|__getitem__|__init__
Original: _prepare_conn , predicted 1st: close|close|pop|pop|pop|pop|view
Original: __init__ , predicted 1st: query|apply|from_wire|from_wire
Original: set_cert , predicted 1st: close|close|close|close
Original: current_time , predicted 1st: reset|__init__|<S>|__init__|from_text
Original: setAttributes , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: getNameTuple , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|from_text
Original: remove_cookie_by_name , predicted 1st: test|test|test|test
Original: _import_c_make_scanner , predicted 1st: __init__|__enter__|publish|__new__|__new__|save|setup
Original: py_make_scanner , predicted 1st: close|close|close|get|get|get|get
Original: main , predicted 1st: makelist|get|get|setup_server
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: _basic_auth_str , predicted 1st: __init__|__init__|__init__|decode|__getitem__|__getitem__
Original: __init__ , predicted 1st: __init__|__init__|__init__|__init__|__getitem__|__getitem__|__init__
Original: is_stream_binary_plist , predicted 1st: __init__|__init__|__init__|__getitem__|__getitem__|publish|__getitem__
Original: __init__ , predicted 1st: close|close|close
Original: __repr__ , predicted 1st: peek|render|render|view|subscribe|subscribe
Original: __init__ , predicted 1st: close|close|close|close|close|close|close
Original: remove_move , predicted 1st: close|close|close
Original: get_unbound_function , predicted 1st: close|close
Original: u , predicted 1st: __init__|__init__|run_migrations_online|from_text|run_migrations_online|run_migrations_online
Original: int2byte , predicted 1st: close|close|close|get|get|get|register_hook
Original: b , predicted 1st: __init__|__init__|_encode_params
Original: reraise , predicted 1st: close|close|close
Original: exec_ , predicted 1st: close|close|close|get|get|get|register_hook
Original: Main , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: json_dumps , predicted 1st: peek|peek|run_migrations_online|run_migrations_online|run_migrations_online|run_migrations_online|from_text
Original: _e , predicted 1st: __init__|peek|peek|peek|run_migrations_online|peek|run_migrations_online
Original: next , predicted 1st: __new__|__new__|__new__|update|update|register|register
Original: touni , predicted 1st: __init__|setup|apply|from_wire
Original: __nonzero__ , predicted 1st: close|close|__getattr__|__getattr__|register|register|register
Original: __set__ , predicted 1st: __init__|__init__
Original: __init__ , predicted 1st: __init__|__init__
Original: wsgi , predicted 1st: __str__|__init__|__init__|_encode_params|__init__|_encode_params|__init__
Original: body , predicted 1st: _set_bind_addr|_set_bind_addr|run_migrations_online|run_migrations_online|from_text|run_migrations_online|run_migrations_online
Original: _get_status , predicted 1st: close|close
Original: headerlist , predicted 1st: __getattr__|__getattr__|keys|setUp|setUp|__init__|setUp
Original: delete_cookie , predicted 1st: got_enough_data|got_enough_data|unwrap|unwrap|unwrap|unwrap|unwrap
Original: local_property , predicted 1st: close
Original: _output , predicted 1st: __init__|__init__|__getitem__|__getitem__|got_enough_data|load_app
Original: apply , predicted 1st: __init__|__init__
Original: trigger , predicted 1st: __init__|__init__
Original: allitems , predicted 1st: __init__|get|get|update|update|replace|get
Original: getall , predicted 1st: close|close|apply
Original: replace , predicted 1st: start|start|start|start|close
Original: get , predicted 1st: reset|save|reset|query
Original: make_default_app_wrapper , predicted 1st: register_hook|register_hook|register_hook|register_hook|register_hook|register_hook|register_hook
Original: run , predicted 1st: load_app|load_app|load_app|load_app|__init__|__init__|_encode_params
Original: load_app , predicted 1st: peek|index|index|index|index|view|view
Original: __enter__ , predicted 1st: __init__|__str__|__init__|__init__|setUp|setUp|__init__
Original: prepare , predicted 1st: __init__|<S>|peek|run_migrations_online|run_migrations_online|from_text
Original: template , predicted 1st: __init__|__init__|__new__
Original: view , predicted 1st: unwrap|unwrap|unwrap|unwrap|unwrap|unwrap|unwrap
Original: calculate , predicted 1st: close|close|close|get|get|get|get
Original: __init__ , predicted 1st: close|close|close|close
Original: asJSON , predicted 1st: close|close|close|close|close|close|close
Original: fields , predicted 1st: close|close|close|close
Original: clear , predicted 1st: close|close|close
Original: removeAll , predicted 1st: close|close|close|close
Original: geometry , predicted 1st: close|close|close|get|get|get|get
Original: portal , predicted 1st: close|close|close|close|close|close|close
Original: usage , predicted 1st: close|close|close|close|close|close|close
Original: register , predicted 1st: close|close|close
Original: validateServer , predicted 1st: close|close|close|close
Original: query , predicted 1st: close|close|close|close
Original: securityConfiguration , predicted 1st: close|close|close
Original: updateIndexConfiguration , predicted 1st: close|close|close|close
Original: http_error_authentication_required , predicted 1st: __init__|__init__|__enter__
Original: get_url_file , predicted 1st: close|close|close|get|get|get|register_hook
Original: wpull_version , predicted 1st: close|close|close|close
Original: stop_control , predicted 1st: register_hook|build|register_hook|build|publish|register_hook|touni
Original: status_running , predicted 1st: setup|register_hook|reset|close|pop|pop|pop
Original: status_stopping , predicted 1st: __init__|_encode_params
Original: checkLei , predicted 1st: __init__|__init__|__getitem__
Original: foo , predicted 1st: _encode_params|_encode_params|get|get|get
Original: streamingExtensionsSetup , predicted 1st: close|close|close|close|get|get|get
Original: secCorrespondenceCloser , predicted 1st: close|close|close|get|get|get|register_hook
Original: loggingRefAttributes , predicted 1st: close|close|close|get|get|get|register_hook
Original: saveCHComponentCommandLineXbrlRun , predicted 1st: close|close|close|close|get|get|get
Original: sphinxRssDoWatchAction , predicted 1st: close|close|close|close|close|close|close
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: memoization , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: online_slam , predicted 1st: close|close|close|close
Original: settings , predicted 1st: setup|getunicode|getunicode|getunicode|close|close
Original: population_distribution , predicted 1st: got_enough_data|run_migrations_online|run_migrations_online|run_migrations_online|run_migrations_online|run_migrations_online|__getattr__
Original: find_reward , predicted 1st: close
Original: test_initial_strategy , predicted 1st: __init__|__init__
Original: test_strategy , predicted 1st: close|close|close
Original: test_four_vector , predicted 1st: __init__|__init__
Original: test_score_history , predicted 1st: __init__|__init__
Original: test_strategy , predicted 1st: __init__
Original: plugin_loaded , predicted 1st: close|close|close|get|get|get|register_hook
Original: is_js_buffer , predicted 1st: close|close|close|get|get|get|register_hook
Original: run , predicted 1st: close|close|close
Original: prepare_data , predicted 1st: close|close|close|close
Original: _which , predicted 1st: close|close|close|get|get|get|register_hook
Original: options , predicted 1st: close|close|close
Original: write_to_paste_buffer , predicted 1st: close
Original: get_paste_buffer , predicted 1st: close|close|close|get|get|get|register_hook
Original: update , predicted 1st: close|close|close|get|get|get|register_hook
Original: replace_with_file_contents , predicted 1st: load_app|__init__|__init__|setUp|__init__|setUp|__init__
Original: ljust , predicted 1st: close|close|close|close|close|close|close
Original: pfeedback , predicted 1st: close|close|close|close
Original: do_shortcuts , predicted 1st: close|close|close|close
Original: do_EOF , predicted 1st: close|close|close|get|get|get|register_hook
Original: do_quit , predicted 1st: close|close|close
Original: do_list , predicted 1st: close|close|close|close
Original: do_ed , predicted 1st: close|close|close|close
Original: do__relative_load , predicted 1st: publish|publish|close|close|close|get|get
Original: do_load , predicted 1st: close|close|close|get|get|get|register_hook
Original: do_run , predicted 1st: close|close|close|get|get|get|register_hook
Original: run_commands_at_invocation , predicted 1st: query|query|pop|apply|pop|apply|from_wire
Original: search , predicted 1st: publish|publish|close|close|close|get|get
Original: span , predicted 1st: publish|publish|close|close|close|get|get
Original: save , predicted 1st: reset|__init__|<S>|__init__|from_text
Original: read , predicted 1st: close|close|close|get|get|get|get
Original: runTest , predicted 1st: close|close|close
Original: _test_transcript , predicted 1st: close|close|pop|pop|pop|view|view
Original: test_list_is_invalid_type , predicted 1st: close|close|close|get|get|get|register_hook
Original: main , predicted 1st: read|read|__len__|__len__|__len__
Original: orderlen , predicted 1st: close|close|close|close|close|close|close
Original: __main__ , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: drawZoomBox , predicted 1st: close|close|close|close|get|get|get
Original: listLayers , predicted 1st: close|close|close|close
Original: invoke , predicted 1st: close|close|close|close|close
Original: mouseTo3d , predicted 1st: close|close|close
Original: zone_number_to_central_longitude , predicted 1st: __init__|_encode_params
Original: _draw_preset_shader_panel , predicted 1st: close|close|close|close
Original: go_to_current_dir , predicted 1st: __delattr__|__delattr__|__delattr__|__delattr__|__delattr__|__delattr__|__delattr__
Original: confirmInput , predicted 1st: close|close|close
Original: __init__ , predicted 1st: __getslice__|__getslice__|__getslice__|__getslice__|peek|index|peek
Original: adjust , predicted 1st: close|close|close|close
Original: test5 , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: _basic_auth_str , predicted 1st: __init__|__init__|__init__|decode|__getitem__|__getitem__
Original: __init__ , predicted 1st: __init__|__init__|__init__|decode|__init__|decode|test
Original: percentage , predicted 1st: __init__|__init__|_encode_params
Original: which , predicted 1st: close|close|close|close|close|close|close
Original: showHelp , predicted 1st: close|close|close|close|close|close|close
Original: __enter__ , predicted 1st: reset|__init__|view|publish|decode
Original: synch_data , predicted 1st: close|close|close|get|get|get|register_hook
Original: run , predicted 1st: close|close|close|get|get|get|register_hook
Original: print_incorrect , predicted 1st: close|close|close|close
Original: _get_sentiments , predicted 1st: __init__|__init__
Original: get_best_model , predicted 1st: close|close|close|close|close
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: main , predicted 1st: test|test|test|publish|test|__len__
Original: __init__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: setModelObject , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|__getattr__
Original: _setIcon , predicted 1st: __init__|__init__|run_migrations_online|from_text|run_migrations_online|run_migrations_online
Original: __init__ , predicted 1st: __init__|__init__|run_migrations_online|from_text|run_migrations_online|run_migrations_online
Original: _addServicesToInterfaces , predicted 1st: __init__|__init__|run_migrations_online|from_text|run_migrations_online|run_migrations_online
Original: _populateChildItems , predicted 1st: __init__|__init__|__getitem__|__getitem__|__next__|load_app
Original: get_services_list , predicted 1st: <S>|__init__|<S>|__init__|__new__|comment|__getattr__
Original: configuration , predicted 1st: query|query|apply|from_wire|apply|from_wire
Original: _str_examples , predicted 1st: close|close|close|close|get|get|get
Original: test_check_glob_for_patterns , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: merge_hooks , predicted 1st: reset|__init__|<S>|__init__|from_text
Original: lessMixinCompletionSet , predicted 1st: close|close|close|close
Original: doExtraDetect , predicted 1st: <S>|__init__|<S>|__init__|__new__|__getattr__
Original: signal_handler , predicted 1st: close|close|close|pop|pop|pop|pop
Original: strslice , predicted 1st: load|pop|pop|pop|pop|pop|pop
Original: fold , predicted 1st: close|close|close|close|close|close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: getregentry , predicted 1st: close|close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: getregentry , predicted 1st: close|close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: getregentry , predicted 1st: close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: getregentry , predicted 1st: close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: getregentry , predicted 1st: close|close|close
Original: encode , predicted 1st: close|close|__getattr__|__getattr__|__getattr__|error|read_headers
Original: _fill_text , predicted 1st: close|close|close|get|get|get|register_hook
Original: __init__ , predicted 1st: close|close|close|close
Original: _add_action , predicted 1st: close|close|close|get|get|get|register_hook
Original: contains , predicted 1st: __init__|__init__|<S>|__init__|get
Original: _require_version_compare , predicted 1st: __init__|__init__|get|get
Original: prereleases , predicted 1st: publish|publish|close|close|close|get|get
Original: add_stderr_logger , predicted 1st: close|close|pop|pop|pop|view|view
Original: rebuild_auth , predicted 1st: close|close|close|get|get|get|get
Original: __init__ , predicted 1st: __init__|__init__|__init__|get|get|touni|touni
Original: get_code , predicted 1st: close|close|close|get|get|get|register_hook
Original: is_package , predicted 1st: close|close|close|close|close|close|close
Original: remove_move , predicted 1st: close|close
Original: get_unbound_function , predicted 1st: __init__|__init__|__init__|setUp|setUp|__init__|setUp
Original: create_bound_method , predicted 1st: close
Original: iterlists , predicted 1st: close|close|close|close
Original: iteritems , predicted 1st: close|close
Original: u , predicted 1st: close|close|close|close
Original: int2byte , predicted 1st: close|close|close|get|get|get|register_hook
Original: indexbytes , predicted 1st: close|close|close|close
Original: byte2int , predicted 1st: __init__|__init__|_encode_params|__init__|_encode_params|__init__|_encode_params
Original: assertRegex , predicted 1st: __init__|__init__|__init__|setUp|setUp|__init__|setUp
Original: reraise , predicted 1st: close|close|close|close
Original: wraps , predicted 1st: __repr__|__len__|register_hook|__len__|redirect
Original: python_2_unicode_compatible , predicted 1st: close|close
Original: check_install_build_global , predicted 1st: close|close
Original: exists_action , predicted 1st: close|close|close
Original: extra_index_url , predicted 1st: __init__|__init__|get|get|touni|touni|run_migrations_online
Original: allow_external , predicted 1st: __init__|__init__|get|get|touni|touni|run_migrations_online
Original: trusted_host , predicted 1st: close|close|close|get|get|get|get
Original: allow_unsafe , predicted 1st: __init__|__init__|get|get|touni|touni|run_migrations_online
Original: editable , predicted 1st: close|close|close
Original: only_binary , predicted 1st: close|close|close|close|close|close|close
Original: get_supported , predicted 1st: close|close|close|get|get|get|register_hook
Original: write_stub , predicted 1st: close|close|close
Original: copy_metadata_to , predicted 1st: getall|__init__|__init__|build|publish|decode|render
Original: _repair , predicted 1st: __init__|__init__|get|get|copy|redirect
Original: _set_session , predicted 1st: __str__|__init__|__init__|setUp|setUp|__init__|setUp
Original: parse , predicted 1st: close|close|close|get|get|get|get
Original: _parse_token , predicted 1st: close|close|close|get|get|get|get
Original: _media_processing , predicted 1st: <S>|<S>|__init__|<S>|__getattr__
Original: Main , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: __init__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: allowed , predicted 1st: publish|publish|close|close|close|__getattr__|__getattr__
Original: rdioal , predicted 1st: publish|publish|close|close|close|get|get
Original: __init__ , predicted 1st: __init__|peek|peek|index|peek|index|index
Original: test , predicted 1st: wsgi|__len__|__len__|__len__|<S>|__str__
Original: store_values , predicted 1st: __init__|__init__|get|get|touni|test|test
Original: __init__ , predicted 1st: close|close|close|close|get|get|get
Original: _init , predicted 1st: reset|__init__|__getitem__|save|load_app|publish
Original: _put , predicted 1st: close|close|close|get|get|get|get
Original: __repr__ , predicted 1st: close|close|close
Original: complete , predicted 1st: __init__|__init__|get|get|touni|touni|run_migrations_online
Original: trg_from_pos , predicted 1st: close|close
Original: setCorePath , predicted 1st: close|close|close|get|get|get|register_hook
Original: _get_resident_size , predicted 1st: close|close|close|close|get|get|get
Original: _get_heap_size , predicted 1st: close|close|close|get|get|get|get
Original: is_symbol_cb , predicted 1st: __init__|__init__|<S>|__init__|read|iteritems|read
Original: quote_patterns_cb , predicted 1st: close|close|close|get|get|get|register_hook
Original: style_operator , predicted 1st: close|close|close|get|get|get|register_hook
Original: get_fully_qualified_name , predicted 1st: close|close|close
Original: attrs , predicted 1st: from_wire|getall|getall|apply|from_wire
Original: get_tree_handler , predicted 1st: close|close|close
Original: getValidAttributeValues , predicted 1st: close|close|close|close|close|close|close
Original: main , predicted 1st: read|__len__|__len__|<S>|test
Original: get_path , predicted 1st: close|close|get|get|get
Original: exception , predicted 1st: close|close|close|pop|pop|pop|view
Original: error , predicted 1st: start|getall|getall
Original: fakeXMLparse , predicted 1st: close|close|close|close|get|get|get
Original: clean_password2 , predicted 1st: close|close
Original: get_user_id , predicted 1st: close|close|close|get|get|get|register_hook
Original: clean_email , predicted 1st: close|close|close|close
Original: clean_new_password2 , predicted 1st: close|close|close|close
Original: prepare_image_url , predicted 1st: close|close|close|get|get|get|register_hook
Original: trace_calls , predicted 1st: __init__|__init__|<S>|__init__|__new__|comment|__getattr__
Original: showSpaces , predicted 1st: close|close|close
Original: wait_for_ready , predicted 1st: close|close|close|close|get|get|get
Original: reload_encoding , predicted 1st: close|close|close|get|get|get|register_hook
Original: setPattern , predicted 1st: close|close|close
Original: find_completions , predicted 1st: close|close|close|get|get|get|register_hook
Original: redirect , predicted 1st: close|close
Original: _call , predicted 1st: <S>|__init__|<S>|from_text|unwrap|unwrap
Original: __repr__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: __init__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: _setSize , predicted 1st: __init__|__init__|setUp|setUp|setUp|__init__|setUp
Original: createFields , predicted 1st: close|close|close|close|get|get|get
Original: parseComments , predicted 1st: close|close|close|close
Original: parseEQBands , predicted 1st: close|close|close|get|get|get|register_hook
Original: parsePlugin , predicted 1st: close|close|close|close|close|close|close
Original: parseFields , predicted 1st: close|close|close|close
Original: createFields , predicted 1st: close|close|close
Original: defaultExtensionParser , predicted 1st: close|close|close|close|get|get|get
Original: __init__ , predicted 1st: close|close|close
Original: formatVolumeSerial , predicted 1st: close|close|close|get|get|get|get
Original: createFields , predicted 1st: close|close|close
Original: text_hot_key , predicted 1st: close|close|close
Original: createFields , predicted 1st: close|close|close|close
Original: __init__ , predicted 1st: close|close|close|close|close|close|close
Original: createFields , predicted 1st: close|close|close|close
Original: __init__ , predicted 1st: close|close|close|close
Original: createValue , predicted 1st: close|close|close|close|close|close|close
Original: createFields , predicted 1st: close|close|close|close|get|get|get
Original: visit_length_func , predicted 1st: close|close|close|get|get|get|register_hook
Original: visit_create_sequence , predicted 1st: close|close|close|close|close|close|close
Original: bind_processor , predicted 1st: close|close|close|close|close|close
Original: create_connect_args , predicted 1st: close|close|close|get|get|get|register_hook
Original: bind_processor , predicted 1st: close|close|close|close|close|close|close
Original: visit_primary_key_constraint , predicted 1st: close|close|close|close|close|close|close
Original: instrument , predicted 1st: test|test|__init__
Original: makeprop , predicted 1st: close|close|close
Original: clslevel , predicted 1st: close|close|close
Original: identity_key , predicted 1st: __init__|__init__|get|get|touni|touni|apply
Original: _orm_annotate , predicted 1st: close|close|close|close|get|get|get
Original: identity_equal , predicted 1st: close|close|close|close
Original: line_length , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
